name,sku,description,category,observations,price,stock
"Água Sanitária Cloro Ativo Ypê 5 L","7896098904664","Marca: Ypê. Categoria: Limpeza. Tipo: Água Sanitária e Cloro. Embalagem: 5L. A Água Sanitária Ypê Cloro Ativo 5L é um produto de limpeza doméstica que combina cloro ativo com triplo benefício: elimina 99,9% das bactérias e fungos, remove mofo e elimina maus odores. Sua embalagem de 5 litros possui bico dosador e tampa com lacre de segurança, garantindo maior economia e segurança no uso. Além disso, é eficaz na higienização de hortifrúti e no branqueamento de roupas brancas.","Para Casa","Produto em oferta | EAN/GTIN: 7896098904664",17.90,9
"Água Sanitária Qboa 1 L","8555660962","Marca: Qboa. Categoria: Limpeza. Tipo: Água Sanitária e Cloro. Embalagem: Frasco. A água sanitária Qboa é ideal para a limpeza e desinfecção de superfícies em sua casa. Com sua fórmula eficaz, ajuda na higienização de frutas, verduras e legumes, além de combater germes e bactérias. Disponível em Cuiabá e Várzea Grande, é uma escolha prática para manter seu lar limpo e seguro.","Para Casa","EAN/GTIN: 7896083800018",4.99,101
"Água Sanitária Qboa 5 L","4805720369","Marca: Qboa. Categoria: Limpeza. Tipo: Água Sanitária e Cloro. Embalagem: Galão de 5 litros. A água sanitária Qboa é ideal para limpeza e desinfecção de superfícies, além de ser eficaz na higienização de frutas, verduras e legumes. Com sua embalagem de 5 litros, é uma opção prática para quem busca manter a casa limpa e livre de germes. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma escolha confiável para o dia a dia.","Para Casa","EAN/GTIN: 7896083800247",21.90,10
"Água Sanitária Vital 5 L","003999","Categoria: Limpeza. Tipo: Água Sanitária e Cloro. Embalagem: 5 Litros. A água sanitária Vital é ideal para a limpeza e desinfecção de diversos ambientes. Com sua embalagem de 5 litros, é perfeita para quem busca praticidade e eficiência na limpeza de banheiros, pisos e superfícies laváveis. Disponível na Dona Antônia, atende às necessidades de quem vive em Cuiabá e Várzea Grande.","Para Casa","Produto em oferta | EAN/GTIN: 7898963172024",12.90,79
"Água Sanitária X-14 Cloro Ativo Veja 1 L","0780020425","Marca: Veja. Categoria: Limpeza. Tipo: Água Sanitária e Cloro. Embalagem: 1000ml. O Veja Limpeza Pesada X-14 Cloro Ativo é ideal para a limpeza e desinfecção de superfícies laváveis, como azulejos e pisos. Com sua fórmula potente, ajuda a remover sujeiras difíceis e elimina germes e bactérias. Disponível em Cuiabá e Várzea Grande, é uma escolha confiável para manter sua casa limpa e saudável.","Para Casa","Produto em oferta | EAN/GTIN: 7891035250019",14.90,5
"Agulha para Desentupir Fogão Color 3 Peças","P0016","Categoria: Casa e Utilidades. Tipo: Cozinha. Embalagem: 3 Peças. A agulha para desentupir fogão é uma ferramenta essencial para a limpeza e desentupimento dos bicos de gás do seu fogão. Composta por 3 peças, é ideal para manter a eficiência do seu equipamento. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma opção prática e útil para o dia a dia da sua cozinha.","Para Casa","EAN/GTIN: 7891751000622",1.99,18
"Álcool 70% Anhanguera 1 L","P5909","Marca: Anhanguera. Categoria: Limpeza. Tipo: Álcool de Limpeza. Embalagem: 1 litro. Álcool 70% Anhanguera 1 L Anhanguera LIMPEZA ÁLCOOL ÁLCOOL DE LIMPEZA 1 litro Para Casa Limpeza Álcool de Limpeza","Para Casa","EAN/GTIN: 7898172662422",9.90,4
"Álcool Enxaguante Bucal Listerine Cool Mint sem 500ml","679766B","Marca: Listerine. Categoria: Higiene Pessoal. Tipo: Higiene Bucal. Embalagem: 500ml. Álcool Enxaguante Bucal Listerine Cool Mint sem 500ml Listerine LIMPEZA ÁLCOOL ÁLCOOL DE LIMPEZA 500ml Para Você Higiene Pessoal Higiene Bucal","Para Você","EAN/GTIN: 7891010256753",18.90,5
"Alecrim Lida Real Sabor 20g","7899767335004","Marca: Real sabor. Categoria: Mercearia. Tipo: Temperos. Embalagem: 20g. Alecrim desidratado da marca Lida Real Sabor, embalagem em pacote, EAN 7899767335004. Usado para temperar carnes, legumes, sopas e molhos, combinando bem com frango e batata assada. Ingredientes: Alecrim desidratado. Não contém glúten. Manter em local arejado, seco e fresco.","Para Casa","EAN/GTIN: 7899767335004",1.89,5
"Alfacell Aparelho de Barbear Azul - 2 uidades","P339","Marca: Alfacell. Categoria: Higiene Pessoal. Tipo: Barba e Depilação. Embalagem: 2 Laminas. Alfacell Aparelho de Barbear Azul - 2 uidades Alfacell HIGIENE BARBEARIA BARBEADOR E LÂMINA 2 Laminas Para Você Higiene Pessoal Barba e Depilação","Para Você","EAN/GTIN: 7899790949896",2.90,1
"Alfacell Aparelho de Barbear Rosa - 2 unidades","P340","Marca: Alfacell. Categoria: Higiene Pessoal. Tipo: Barba e Depilação. Embalagem: 2 Laminas. Alfacell Aparelho de Barbear Rosa - 2 unidades Alfacell HIGIENE BARBEARIA BARBEADOR E LÂMINA 2 Laminas Para Você Higiene Pessoal Barba e Depilação","Para Você","EAN/GTIN: 7899790949889",2.90,1
"Alho Cebola e Salsa Lida Real Sabor Pacote 10g","7899767334977","Marca: Real sabor. Categoria: Mercearia. Tipo: Temperos. Embalagem: 10g. A combinação de cebola, alho e salsa traz praticidade para a rotina, pois reúne itens muito utilizados na culinária.","Para Casa","EAN/GTIN: 7899767334977",1.89,5
"Alho Frito Itapero 30 g","7895639000032","Marca: Itapero. Categoria: Mercearia. Tipo: Temperos. Embalagem: 30g. Alho frito granulado da marca Itapero, embalagem de 30g, EAN 7895639000032. Ingredientes: alho, amido de milho, óleo de palma. NÃO CONTÉM GLÚTEN, NÃO CONTÉM GMO. Conservar em local limpo, seco e arejado.","Para Casa","EAN/GTIN: 7895639000032",1.89,3
"Almôndegas ao Molho Anglo 420 g","55222885","Marca: Anglo. Categoria: Mercearia. Tipo: Enlatados e Conservas. Embalagem: 420g. Almôndegas ao Molho Anglo 420 g Anglo MERCEARIA BÁSICA ENLATADOS CONSERVAS E ENLATADOS 420g Para Casa Mercearia Enlatados e Conservas","Para Casa","EAN/GTIN: 7896037514848",19.90,6
"Amaciante Aconchego Ypê 2 L","P0018","Marca: Ypê. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 2L. Amaciante Aconchego Ypê 2 L Ypê LAVANDERIA AMACIANTE AMACIANTE DE ROUPAS 2L Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 2789609890240",11.90,101
"Amaciante Concentrado 36 Segredos Comfort 1,5 L","8015030486","Marca: Comfort. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 1,5L. Amaciante Concentrado 36 Segredos Comfort 1,5 L Comfort LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 1,5L Para Casa Lavanderia Amaciantes","Para Casa","Produto em oferta | EAN/GTIN: 7891150093775",27.90,6
"Amaciante Concentrado Água Fresca Downy 1,5 L","P-R2YA","Marca: Downy. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 1,5 Litro. Amaciante Concentrado Água Fresca Downy 1,5 L Downy LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 1,5 Litro Para Casa Lavanderia Amaciantes","Para Casa","Produto em oferta | EAN/GTIN: 7500435153898",27.89,3
"Amaciante Concentrado Azul Tudão Fofo 1,5 L","P-03YS","Marca: Fofo. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 1,5 LITRO. Amaciante Concentrado Azul Tudão Fofo 1,5 L Fofo LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 1,5 LITRO Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7891150090842",28.90,4
"Amaciante Concentrado Brisa de Verão Downy 3 L","7500435156547","Marca: Downy. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 3L. O Downy Amaciante Perfume de Alta Fixação e Duração Brisa de Verão 3L é um amaciante concentrado que proporciona fragrância duradoura e maciez às roupas. Sua fórmula com cápsulas de perfume libera notas de flores brancas e frutas cítricas a cada toque, mantendo as roupas perfumadas o dia todo. Além disso, protege contra maus odores, incluindo fumaça, cheiro de fritura e peixe, e facilita o processo de passar roupas. A embalagem de 3L rende até 132 lavagens, equivalente a 12L de amaciante diluído.","Para Casa","Produto em oferta | EAN/GTIN: 7500435156547",44.90,4
"Amaciante Concentrado Brisa de Verão Downy 500 ml","P2","Marca: Downy. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 500ml. Amaciante Concentrado Brisa de Verão Downy 500 ml Downy LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 500ml Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7506195143834",15.90,2
"Amaciante Concentrado Brisa Elegante Comfort 1,5 L","508089A","Marca: Comfort. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 1,5L. Amaciante Concentrado Brisa Elegante Comfort 1,5 L Comfort LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 1,5L Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7891150080010",29.90,4
"Amaciante Concentrado Brisa Suave Downy 3 L","P-9KFD","Marca: Downy. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 3L. Amaciante Concentrado Brisa Suave Downy 3 L Downy LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 3L Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7500435243636",49.90,4
"Amaciante Concentrado Explosão de Lavanda Comfort 1,5 L","8479110634","Marca: Comfort. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 1,5L. Amaciante Concentrado Explosão de Lavanda Comfort 1,5 L Comfort LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 1,5L Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7891150090903",29.90,3
"Amaciante Concentrado Frescor da Primavera Downy 1,5 L","P43","Marca: Downy. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: Unidade. Amaciante Concentrado Frescor da Primavera Downy 1,5 L Downy LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO Unidade Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7500435153867",29.90,4
"Amaciante Concentrado Frescor de Primavera Downy 500 ml","P3","Marca: Downy. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 500ml. Amaciante Concentrado Frescor de Primavera Downy 500 ml Downy LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 500ml Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7506195143872",15.90,3
"Amaciante Concentrado Lírios do Campo Downy 3 L","4590130410","Marca: Downy. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 3L. Amaciante Concentrado Lírios do Campo Downy 3 L Downy LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 3L Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7500435156554",49.90,3
"Amaciante Concentrado Lírios do Campo Downy 500 ml","P25202","Marca: Downy. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 500ml. Amaciante Concentrado Lírios do Campo Downy 500 ml Downy LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 500ml Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7506195143858",15.90,1
"Amaciante Concentrado Perfume Sofisticado Downy 3 L","3826400296","Marca: Downy. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 3L. Amaciante Concentrado Perfume Sofisticado Downy 3 L Downy LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 3L Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7500435186858",49.90,2
"Amaciante Concentrado Puro Cuidado Comfort 1,5 L","816534J","Marca: Comfort. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 1,5L. Amaciante Concentrado Puro Cuidado Comfort 1,5 L Comfort LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 1,5L Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7891150065154",29.90,5
"Amaciante Concentrado Seiva de Alfazema Downy 1,5 L","P45","Marca: Downy. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 1,5L. Amaciante Concentrado Seiva de Alfazema Downy 1,5 L Downy LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 1,5L Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7500435252218",29.90,11
"Amaciante Concentrado Vero Tropical Downy 3 L","3319020659","Marca: Downy. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 3L. Amaciante Concentrado Vero Tropical Downy 3 L Downy LAVANDERIA AMACIANTE AMACIANTE CONCENTRADO 3L Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7500435259569",49.90,2
"Amaciante de Roupas Azul Girando Sol 2 L","P-MM2Y","Marca: Girando Sol. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 2 LITROS. Amaciante de Roupas Azul Girando Sol 2 L Girando Sol LAVANDERIA AMACIANTE AMACIANTE DE ROUPAS 2 LITROS Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7896404600099",11.90,5
"Amaciante de Roupas Carinhoso Remmus 2 L","2380250848","Marca: Remmus. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 2 Litros. O amaciante Remmus Proteo Carinhoso é ideal para deixar suas roupas macias e com um toque suave. Com sua embalagem de 2 litros, é perfeito para quem busca praticidade no dia a dia. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, ele proporciona um cuidado especial para suas peças. Experimente e sinta a diferença no seu enxoval.","Para Casa","EAN/GTIN: 7898964012114",7.90,2
"Amaciante de Roupas Carinhoso Remmus 5L","7898964012282","Marca: Remmus. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 5L. O Amaciante de Roupas Carinhoso Remmus 5L proporciona maciez e fragrância delicada às roupas, facilitando o processo de passar e deixando-as mais agradáveis ao toque. Sua fórmula é especialmente desenvolvida para amaciar e perfumar tecidos, oferecendo um cuidado especial às roupas do dia a dia.","Para Casa","EAN/GTIN: 7898964012282",12.90,2
"Amaciante de Roupas Clássico Mon Bijou 1,7 L","3560820971","Marca: Mon Bijou. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 1,7 litros. Amaciante de Roupas Clássico Mon Bijou 1,7 L Mon Bijou LAVANDERIA AMACIANTE AMACIANTE DE ROUPAS 1,7 litros Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7891022860450",9.90,1
"Amaciante de Roupas Concentrado Segredos 10 Bridgerton Comfort 1,5 L","7891150105850","Marca: Comfort. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 1,5L. O Comfort Segredos 10 Bridgerton é um amaciante de roupas concentrado de 1,5L, edição especial inspirada na série Bridgerton. Sua fragrância floral intensa, desenvolvida com mais de 50 ingredientes da perfumaria fina, proporciona uma experiência olfativa sofisticada e duradoura. A fórmula concentrada rende até 67 lavagens, equivalente a 6L de amaciante comum, e protege as cores e fibras dos tecidos, mantendo as roupas como novas por mais tempo.","Para Casa","EAN/GTIN: 7891150105850",29.90,4
"Amaciante de Roupas Rosas e Lavanda Concentrado Girando Sol 2 L","7896404600181","Marca: Girando Sol. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 2L. Amaciante de roupas concentrado com fragrância de Rosas e Lavanda, proporciona toque macio e suave, dermatologicamente testado, rende até 25 lavagens.","Para Casa","EAN/GTIN: 7896404600181",11.90,6
"Amaciante de Roupas Soft Azul Minuano 2 L","P-V2EF","Marca: Minuano. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 2 LITROS. Amaciante de Roupas Soft Azul Minuano 2 L Minuano LAVANDERIA AMACIANTE AMACIANTE DE ROUPAS 2 LITROS Para Casa Lavanderia Amaciantes","Para Casa","EAN/GTIN: 7897664150010",10.90,1
"Amaciante de Roupas Ultra Primavera Ypê 2 L","7896098902417","Marca: Ypê. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 2L. O Amaciante de Roupas Ypê Ultra Primavera 2L proporciona maciez e perfume duradouro às roupas, graças à sua fórmula com Ação TecnoSoft e cápsulas de perfume que se incorporam às fibras durante a lavagem, permanecendo nas roupas após dias na gaveta. Sua embalagem de 2 litros rende aproximadamente 33 lavagens, oferecendo praticidade e economia. Ideal para quem busca um cuidado especial com as roupas do dia a dia.","Para Casa","EAN/GTIN: 7896098902417",12.90,3
"Amaciante de Roupas Ultra Ypê 5 L","7896098905401","Marca: Ypê. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 5L. O Amaciante de Roupas Ypê Ultra 5L proporciona perfume de longa duração e rende mais 6,8L, permitindo até 83 lavagens. Sua fórmula concentrada amacia os tecidos e facilita o processo de passar roupas. Ideal para uso doméstico, é adequado para diversos tipos de tecidos, incluindo algodão e poliéster.","Para Casa","EAN/GTIN: 7896098905401",23.90,4
"Amaciante de Roupas Vigor da Natureza Girando Sol 2 L","1786802360966_7991","Marca: Girando Sol. Categoria: Lavanderia. Tipo: Amaciantes. Embalagem: 2L. O Amaciante de Roupas Girando Sol Sensações Vigor da Natureza, com 2L, proporciona roupas frescas o dia todo, graças à sua fórmula com cápsulas ativas que liberam fragrância ao longo do dia. Dermatologicamente testado e biodegradável, é seguro para todos os tipos de tecido e não realiza testes em animais.","Para Casa","",11.90,1
